title,author,genre,rating,price,year,pages,reviews,amazon_year
Becoming,Michelle Obama,Black & African American,4.8,18..70,2016,448,"204,693 ratings",2018
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,Faith,4.5,12..58,2018,240,"41,351 ratings",2018
The Wonky Donkey,Craig Smith,Farm Animals,4.8,5..28,2010,24,"85,164 ratings",2018
Fire and Fury: Inside the Trump White House,Michael Wolff,U.S. Presidents,4.0,5..99,2018,321,"48,821 ratings",2018
Fear: Trump in the White House,Bob Woodward,U.S. Presidents,4.4,19..32,2018,448,"19,523 ratings",2018
Last Week Tonight with John Oliver Presents: A Day in the Life of Marlon Bundo (HBO),Jill Twiss,Marriage & Divorce,4.9,11..05,2018,40,"16,711 ratings",2018
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,Applied Psychology,4.7,14..08,2018,409,"82,468 ratings",2018
Magnolia Table,Joanna Gaines,Southern,4.8,20..95,2020,336,"35,774 ratings",2018
Whose Boat Is This Boat?: Comments That Don't Help in the Aftermath of a Hurricane,The Staff of The Late Show with Stephen Colbert,Parodies,4.6,11..75,2018,24,"10,547 ratings",2018
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,Happiness,4.5,10..05,2016,224,"151,837 ratings",2018
"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,National,4.6,12..99,2018,312,"17,467 ratings",2018
The Complete Ketogenic Diet for Beginners: Your Essential Guide to Living the Keto Lifestyle,Amy Ramos,Low Carbohydrate,4.2,6..30,2016,158,"27,571 ratings",2018
Diary of a Wimpy Kid #13: Meltdown,Jeff Kinney,Literature & Fiction,4.8,10..75,2002,224,"32,941 ratings",2018
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,Love & Romance,4.8,7..88,2016,224,"93,996 ratings",2018
First 100 Words: A Padded Board Book,Roger Priddy,Vocabulary & Spelling,4.7,3..88,2011,24,"38,701 ratings",2018
Dog Man: Lord of the Fleas: From the Creator of Captain Underpants (Dog Man #5),Dav Pilkey,Superheroes,4.8,15..54,2018,256,"20,669 ratings",2018
Educated: A Memoir,Tara Westover,Women,4.6,11..98,2020,352,"221,165 ratings",2018
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,Happiness,4.7,9..35,2021,272,"47,166 ratings",2018
"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain (The Plant Paradox, 1)",Dr. Steven R Gundry  MD,Weight Loss,4.4,15..66,2017,416,"16,909 ratings",2018
Giraffes Can't Dance,Giles Andreae,Dance,4.8,6..50,1999,32,"29,657 ratings",2018
D&D 2014 Player's Handbook (Dungeons & Dragons Core Rulebook),Dungeons & Dragons,Reference,4.9,49..95,1951,Unknown,"54,163 ratings",2018
Homebody: A Guide to Creating Spaces You Never Want to Leave,Joanna Gaines,Design & Construction,4.8,23..98,2018,352,"12,004 ratings",2018
The Very Hungry Caterpillar,Eric Carle,Counting,4.9,5..75,1969,26,"76,710 ratings",2018
Crazy Rich Asians (Crazy Rich Asians Trilogy),Kevin Kwan,Family Life,4.3,9..90,2018,544,"54,191 ratings",2018
The Hate U Give: A Printz Honor Winner,Angie Thomas,Depression & Mental Health,4.7,8..62,2017,464,"49,849 ratings",2018
The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,Laurel Randolph,Poultry,4.4,7..85,2016,176,"13,425 ratings",2018
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,Personal Transformation,4.7,7..05,1997,160,"117,067 ratings",2018
The Wonderful Things You Will Be,Emily Winfield Martin,New Baby,4.9,10..71,2015,36,"31,479 ratings",2018
P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,Toilet Training,4.7,6..36,2014,12,"32,254 ratings",2018
The Pout-Pout Fish,Deborah Diesen,Emotions & Feelings,4.8,4..50,2013,32,"27,061 ratings",2018
The Alchemist: A Modern Classic of Magic and Mysticism (Perennial Classics),Paulo Coelho,Historical,4.6,7..85,2014,208,"166,954 ratings",2018
Wonder,R. J. Palacio,Unknown,4.8,11..41,1899,320,"67,127 ratings",2018
To Kill a Mockingbird,Harper Lee,"TV, Movie, Video Game Adaptations",4.7,10..98,1960,336,"141,123 ratings",2018
The Whole30: The 30-Day Guide to Total Health and Food Freedom,Melissa Hartwig Urban,Reference,4.6,16..51,2015,432,"16,802 ratings",2018
The Keto Diet: The Complete Guide to a High-Fat Diet,Leanne Vogel,Green Housecleaning,4.4,15..00,2017,448,"7,760 ratings",2018
"Everybody, Always: Becoming Love in a World Full of Setbacks and Difficult People",Bob Goff,Family & Relationships,4.8,10..43,2018,240,"9,239 ratings",2018
Before We Were Yours: A Novel,Lisa Wingate,Family Saga,4.6,16..62,2019,352,"152,787 ratings",2018
The Reckoning: A Novel,John Grisham,Political,4.2,14..33,2014,432,"67,789 ratings",2018
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,Colors,4.9,5..36,1967,24,"54,421 ratings",2018
Beneath a Scarlet Sky: A Novel,Mark Sullivan,World War II & Holocaust,4.6,13..90,2019,523,"234,000 ratings",2018
What to Expect When You're Expecting: (Updated in 2024),Heidi Murkoff,Pregnancy & Childbirth,4.8,10..73,2016,656,"29,479 ratings",2018
Principles: Life and Work,Ray Dalio,Introduction,4.6,15..50,2020,592,"18,510 ratings",2018
Astrophysics for People in a Hurry,Neil deGrasse Tyson,Astrophysics & Space Science,4.6,10..79,2017,224,"36,972 ratings",2018
Laugh-Out-Loud Jokes for Kids,Rob Elliott,Humorous,4.6,4..64,2022,128,"12,125 ratings",2018
"Medical Medium Liver Rescue: Answers to Eczema, Psoriasis, Diabetes, Strep, Acne, Gout, Bloating, Gallstones, Adrenal Stress, Fatigue, Fatty Liver, Weight Issues, SIBO & Autoimmune Disease",Anthony William,Psoriasis,4.7,19..29,2018,496,"12,291 ratings",2018
The Official SAT Study Guide,The College Board,SAT,4.5,12..20,2004,1280,"2,461 ratings",2018
Calm the F*ck Down: An Irreverent Adult Coloring Book,Sasha O'Hara,Humorous,4.6,6..99,2016,52,"21,386 ratings",2018
"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl® Wellbeing)",Valorie Schaefer,Personal Hygiene,4.8,12..99,2012,104,"26,974 ratings",2018
The Outsider: A Novel,Stephen King,Murder,4.5,15..89,2017,576,"63,096 ratings",2018
Where the Crawdads Sing: Reese's Book Club,Delia Owens,Coming of Age,4.7,15..50,2018,384,"634,573 ratings",2018
Sapiens: A Brief History of Humankind,Yuval Noah Harari,Military,4.6,14..29,2020,464,"142,955 ratings",2018
Love You Forever,Robert Munsch,Classics,4.9,4..98,1986,32,"65,378 ratings",2018
Dragons Love Tacos,Adam Rubin,"Dragons, Unicorns & Mythical",4.8,9..95,2012,40,"20,113 ratings",2018
The Woman in the Window: A Novel,A. J. Finn,Culinary,4.3,14..10,2017,448,"134,045 ratings",2018
Simply Keto: A Practical Approach to Health & Weight Loss with 100+ Easy Low-Carb Recipes,Suzanne Ryan,Green Housecleaning,4.6,21..34,2017,336,"10,305 ratings",2018
StrengthsFinder 2.0,Gallup,Management,4.1,28..52,2007,175,"8,423 ratings",2018
"Extreme Ownership: How U.S. Navy SEALs Lead and Win (New Edition) (Extreme Ownership Trilogy, 1)",Jocko Willink,Iraq War,4.8,12..04,2017,384,"37,843 ratings",2018
The Russia Hoax: The Illicit Scheme to Clear Hillary Clinton and Frame Donald Trump,Gregg Jarrett,Executive Branch,4.8,9..95,2018,352,"6,058 ratings",2018
