title,author,genre,rating,price,year,pages,reviews,amazon_year
Where the Crawdads Sing: Reese's Book Club,Delia Owens,Coming of Age,4.7,15..50,2018,384,"634,573 ratings",2019
Becoming,Michelle Obama,Black & African American,4.8,18..70,2016,448,"204,693 ratings",2019
Educated: A Memoir,Tara Westover,Women,4.6,11..98,2020,352,"221,165 ratings",2019
Dog Man: For Whom the Ball Rolls: From the Creator of Captain Underpants (Dog Man #7),Dav Pilkey,Superheroes,4.9,7..74,2019,240,"23,329 ratings",2019
"Girl, Wash Your Face: Stop Believing the Lies About Who You Are So You Can Become Who You Were Meant to Be",Rachel Hollis,Faith,4.5,12..58,2018,240,"41,351 ratings",2019
Dog Man: Fetch-22: A Graphic Novel (Dog Man #8): From the Creator of Captain Underpants,Dav Pilkey,Action & Adventure,4.9,8..27,2019,240,"32,535 ratings",2019
Wrecking Ball (Diary of a Wimpy Kid #14) (Volume 14),Jeff Kinney,Boys & Men,4.9,11..22,2019,224,"19,445 ratings",2019
The Wonderful Things You Will Be,Emily Winfield Martin,New Baby,4.9,10..71,2015,36,"31,479 ratings",2019
"School Zone Big Preschool Workbook: 320 Pages, Toddler, Pre-K, ABCs, Alphabet, Basic Phonics, Writing Skills, Early Math & Numbers, Colors & Shapes, Matching, Follow Directions, Ages 3-5",School Zone,School,4.8,12..59,2019,320,"72,902 ratings",2019
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,Love & Romance,4.8,7..88,2016,224,"93,996 ratings",2019
The Wonky Donkey,Craig Smith,Farm Animals,4.8,5..28,2010,24,"85,164 ratings",2019
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,Happiness,4.5,10..05,2016,224,"151,837 ratings",2019
Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Thinking Books for Kids),M Prefontaine,Party Games,4.6,7..99,2017,79,"33,633 ratings",2019
"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",Samin Nosrat,Reference,4.8,18..72,2021,480,"23,601 ratings",2019
The Very Hungry Caterpillar,Eric Carle,Counting,4.9,5..75,1969,26,"76,710 ratings",2019
What Should Danny Do? (The Power to Choose Series),Adir Levy,Values,4.8,11..11,2017,68,"24,917 ratings",2019
It's Not Supposed to Be This Way: Finding Unexpected Strength When Disappointments Leave You Shattered,Lysa TerKeurst,Guides,4.8,14..03,2018,256,"19,987 ratings",2019
Hopscotch Girls I Am Confident Brave & Beautiful Inspirational Coloring Books for Kids Ages 4-8 & Up 8-12 Empowering Boost Confidence Color Book,Hopscotch Girls,Girls & Women,4.8,6..99,2017,24,"34,105 ratings",2019
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,Personal Transformation,4.7,7..05,1997,160,"117,067 ratings",2019
Unfreedom of the Press,Mark R. Levin,"Headphones, Earbuds & Accessories",4.8,8..90,2019,272,"9,343 ratings",2019
Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,Superheroes,4.8,8..25,2018,224,"22,700 ratings",2019
Giraffes Can't Dance,Giles Andreae,Dance,4.8,6..50,1999,32,"29,657 ratings",2019
If Animals Kissed Good Night,Ann Whitford Paul,Parents,4.8,4..23,2009,34,"75,556 ratings",2019
"Oh, the Places You'll Go!",Dr. Seuss,Classics,4.9,8..48,1990,56,"52,232 ratings",2019
Howard Stern Comes Again,Howard Stern,Actors & Entertainers,4.5,14..41,2019,560,"10,256 ratings",2019
Guts: A Graphic Novel,Raina Telgemeier,Biography,4.8,7..00,2019,224,"18,852 ratings",2019
