title,author,genre,rating,price,year,reviews,amazon_year
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,Social Psychology & Interactions,4.8,14..20,2022,"139,860 ratings",2021
American Marxism,Mark R. Levin,Communism & Socialism,4.8,12..18,2021,"37,447 ratings",2021
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,Personal Transformation,4.7,7..05,1997,"117,058 ratings",2021
If Animals Kissed Good Night,Ann Whitford Paul,Parents,4.8,4..23,2009,"75,558 ratings",2021
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk M.D.,Psychiatry,4.8,10..86,2019,"79,026 ratings",2021
I Love You to the Moon and Back,Amelia Hepworth,Multigenerational,4.9,4..42,2015,"77,667 ratings",2021
It Ends with Us: A Novel (1),Colleen Hoover,"TV, Movie, Video Game Adaptations",4.7,9..03,2016,"395,938 ratings",2021
"The Boy, the Mole, the Fox and the Horse: Inspiring Conversations on Hope, Love and Personal Growth",Charlie Mackesy,Contemporary Women,4.8,11..57,2019,"125,347 ratings",2021
The Very Hungry Caterpillar,Eric Carle,Counting,4.9,5..75,1969,"76,705 ratings",2021
"My First Learn-to-Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More!",Crystal Radke,Handwriting,4.8,5..26,2021,"86,552 ratings",2021
The Midnight Library: A GMA Book Club Pick: A Novel,Matt Haig,Short Stories,4.4,9..54,2020,"268,569 ratings",2021
The Four Winds: A Novel,Kristin Hannah,Historical,4.6,14..55,2014,"174,307 ratings",2021
Dog Man: Mothering Heights: A Graphic Novel (Dog Man #10): From the Creator of Captain Underpants (10),Dav Pilkey,Superheroes,4.9,6..79,2021,"26,514 ratings",2021
The Last Thing He Told Me: A Novel,Laura Dave,Family Life,4.3,17..98,2021,"159,720 ratings",2021
"Big Shot Diary of a Wimpy Kid Book 16 (Diary of a Wimpy Kid, 16) (Volume 16)",Jeff Kinney,Humor,4.8,9..98,2021,"28,259 ratings",2021
"Real Anthony Fauci: Bill Gates, Big Pharma, and the Global War on Democracy and Public Health (Children’s Health Defense)",Robert F. Kennedy Jr.,Scientists,4.8,17..09,2022,"26,535 ratings",2021
The Seven Husbands of Evelyn Hugo: A Novel,Taylor Jenkins Reid,Family Life,4.6,9..49,2018,"252,979 ratings",2021
The 48 Laws of Power,Robert Greene,History & Theory,4.7,14..55,1998,"83,813 ratings",2021
"Oh, the Places You'll Go!",Dr. Seuss,Classics,4.9,8..48,1990,"52,228 ratings",2021
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,Colors,4.9,5..36,1967,"54,413 ratings",2021
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,Personal Finance,4.7,12..70,2017,"102,850 ratings",2021
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,Love & Romance,4.8,6..23,2016,"93,993 ratings",2021
Burn After Writing (Pink),Sharon Jones,Writing,4.6,7..61,2020,"78,222 ratings",2021
1984: 75th Anniversary,George Orwell,Censorship,4.6,9..78,1984,"117,010 ratings",2021
Peril,Bob Woodward,U.S. Presidents,4.6,14..32,1932,"22,175 ratings",2021
Untamed: Reese's Book Club,Glennon Doyle,Self Help,4.6,14..69,2020,"66,969 ratings",2021
"Dune (Dune Chronicles, Book 1)",Frank Herbert,Paranormal,4.7,9..05,2005,"100,019 ratings",2021
My First Library: Boxset of 10 Board Books for Kids,Wonder House Books,Vocabulary & Spelling,4.6,15..06,2018,"82,966 ratings",2021
Atlas of the Heart: Mapping Meaningful Connection and the Language of Human Experience,Brené Brown,Social Psychology & Interactions,4.8,17..74,2021,"20,770 ratings",2021
"Song of Achilles, The",Madeline Miller,Classic Fiction,4.5,10..77,2011,"110,182 ratings",2021
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,Social Psychology & Interactions,4.8,14..20,2022,"139,860 ratings",2021
American Marxism,Mark R. Levin,Communism & Socialism,4.8,12..18,2021,"37,447 ratings",2021
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,Personal Transformation,4.7,7..05,1997,"117,058 ratings",2021
If Animals Kissed Good Night,Ann Whitford Paul,Parents,4.8,4..23,2009,"75,558 ratings",2021
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma",Bessel van der Kolk M.D.,Psychiatry,4.8,10..86,2019,"79,026 ratings",2021
I Love You to the Moon and Back,Amelia Hepworth,Multigenerational,4.9,4..42,2015,"77,667 ratings",2021
It Ends with Us: A Novel (1),Colleen Hoover,"TV, Movie, Video Game Adaptations",4.7,9..03,2016,"395,938 ratings",2021
"The Boy, the Mole, the Fox and the Horse: Inspiring Conversations on Hope, Love and Personal Growth",Charlie Mackesy,Contemporary Women,4.8,11..57,2019,"125,347 ratings",2021
The Very Hungry Caterpillar,Eric Carle,Counting,4.9,5..75,1969,"76,705 ratings",2021
"My First Learn-to-Write Workbook: Practice for Kids with Pen Control, Line Tracing, Letters, and More!",Crystal Radke,Handwriting,4.8,5..26,2021,"86,552 ratings",2021
The Midnight Library: A GMA Book Club Pick: A Novel,Matt Haig,Short Stories,4.4,9..54,2020,"268,569 ratings",2021
The Four Winds: A Novel,Kristin Hannah,Historical,4.6,14..55,2014,"174,307 ratings",2021
Dog Man: Mothering Heights: A Graphic Novel (Dog Man #10): From the Creator of Captain Underpants (10),Dav Pilkey,Superheroes,4.9,6..79,2021,"26,514 ratings",2021
The Last Thing He Told Me: A Novel,Laura Dave,Family Life,4.3,17..98,2021,"159,720 ratings",2021
"Big Shot Diary of a Wimpy Kid Book 16 (Diary of a Wimpy Kid, 16) (Volume 16)",Jeff Kinney,Humor,4.8,9..98,2021,"28,259 ratings",2021
"Real Anthony Fauci: Bill Gates, Big Pharma, and the Global War on Democracy and Public Health (Children’s Health Defense)",Robert F. Kennedy Jr.,Scientists,4.8,17..09,2022,"26,535 ratings",2021
The Seven Husbands of Evelyn Hugo: A Novel,Taylor Jenkins Reid,Family Life,4.6,9..49,2018,"252,979 ratings",2021
The 48 Laws of Power,Robert Greene,History & Theory,4.7,14..55,1998,"83,813 ratings",2021
"Oh, the Places You'll Go!",Dr. Seuss,Classics,4.9,8..48,1990,"52,228 ratings",2021
"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,Colors,4.9,5..36,1967,"54,413 ratings",2021
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,Personal Finance,4.7,12..70,2017,"102,850 ratings",2021
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,Love & Romance,4.8,6..23,2016,"93,993 ratings",2021
Burn After Writing (Pink),Sharon Jones,Writing,4.6,7..61,2020,"78,222 ratings",2021
1984: 75th Anniversary,George Orwell,Censorship,4.6,9..78,1984,"117,010 ratings",2021
Peril,Bob Woodward,U.S. Presidents,4.6,14..32,1932,"22,175 ratings",2021
Untamed: Reese's Book Club,Glennon Doyle,Self Help,4.6,14..69,2020,"66,969 ratings",2021
"Dune (Dune Chronicles, Book 1)",Frank Herbert,Paranormal,4.7,9..05,2005,"100,019 ratings",2021
My First Library: Boxset of 10 Board Books for Kids,Wonder House Books,Vocabulary & Spelling,4.6,15..06,2018,"82,966 ratings",2021
Atlas of the Heart: Mapping Meaningful Connection and the Language of Human Experience,Brené Brown,Social Psychology & Interactions,4.8,17..74,2021,"20,770 ratings",2021
"Song of Achilles, The",Madeline Miller,Classic Fiction,4.5,10..77,2011,"110,182 ratings",2021
