date,rank,title,author,publisher,description,primary_isbn13,primary_isbn10,rating,sales,pages
2020-01-06,1,WHERE THE CRAWDADS SING,Delia Owens,Putnam,"In a quiet town on the North Carolina coast in 1969, a young woman who survived alone in the marsh becomes a murder suspect.",9780735219090,0735219095,,,386
2020-01-06,2,THE GUARDIANS,John Grisham,Doubleday,"Cullen Post, a lawyer and Episcopal minister, antagonizes some ruthless killers when he takes on a wrongful conviction case.",9780385544184,0385544189,,,0
2020-01-06,3,THE INSTITUTE,Stephen King,Scribner,Children with special talents are abducted and sequestered in an institution where the sinister staff seeks to extract their gifts through harsh methods.,9781982110567,1982110562,,,576
2020-01-06,4,CRISS CROSS,James Patterson,"Little, Brown",The 27th book in the Alex Cross series. Copycat crimes make the detective question whether an innocent man was executed.,9780316526883,0316526886,,,0
2020-01-06,5,THE TESTAMENTS,Margaret Atwood,Nan A. Talese/Doubleday,"In a sequel to “The Handmaid’s Tale,” old secrets bring three women together as the Republic of Gilead’s theocratic regime shows signs of decay.",9780385543781,0385543786,,,0
2020-01-06,6,BLUE MOON,Lee Child,Delacorte,Jack Reacher gets caught up in a turf war between Ukrainian and Albanian gangs.,9780399593543,0399593543,,,369
2020-01-06,7,A MINUTE TO MIDNIGHT,David Baldacci,Grand Central,"When Atlee Pine returns to her hometown to investigate her sister’s kidnapping from 30 years ago, she winds up tracking a potential serial killer.",9781538761601,1538761602,,,432
2020-01-06,8,THE WATER DANCER,Ta-Nehisi Coates,One World,A young man who was gifted with a mysterious power becomes part of a war between slavers and the enslaved.,9780399590597,0399590595,,,417
2020-01-06,9,TWISTED TWENTY-SIX,Janet Evanovich,Putnam,The 26th book in the Stephanie Plum series. A New Jersey gangster’s associates go after a bounty hunter’s widowed grandmother.,9780399180194,0399180192,,,322
2020-01-06,10,THE DUTCH HOUSE,Ann Patchett,Harper,A sibling relationship is impacted when the family goes from poverty to wealth and back again over the course of many decades.,9780062963673,0062963678,,,352
2020-01-06,11,THE SILENT PATIENT,Alex Michaelides,Celadon,Theo Faber looks into the mystery of a famous painter who stops speaking after shooting her husband.,9781250301697,1250301696,,,336
2020-01-06,12,"OLIVE, AGAIN",Elizabeth Strout,Random House,"In a follow-up to the Pulitzer Prize-winning novel “Olive Kitteridge,” new relationships, including a second marriage, are encountered in a seaside town in Maine.",9780812996548,0812996542,,,305
2020-01-06,13,TOM CLANCY: CODE OF HONOR,Marc Cameron,Putnam,President Jack Ryan learns of a plot against America when he tries to help an old friend who has been arrested in Indonesia.,9780525541721,0525541721,,,514
2020-01-06,14,THE GIVER OF STARS,Jojo Moyes,Pamela Dorman/Viking,"In Depression-era Kentucky, five women refuse to be cowed by men or convention as they deliver books.",9780399562488,0399562486,4,,402
2020-01-06,15,THE STARLESS SEA,Erin Morgenstern,Doubleday,Zachary Ezra Rawlins fights to save a labyrinthine underground repository of stories.,9780385541213,038554121X,,,0
2020-01-06,1,BECOMING,Michelle Obama,Crown,"The former first lady describes how she balanced work, family and her husband’s political ascent.",9781524763138,1524763136,4,,465
