title,author,genre,rating,price,year,pages,reviews,amazon_year
Wonder,R. J. Palacio,Unknown,4.8,11..41,1899,320,"67,127 ratings",2017
Milk and Honey,Rupi Kaur,Religious,4.7,7..83,2014,208,"63,943 ratings",2017
Giraffes Can't Dance,Giles Andreae,Dance,4.8,6..50,1999,32,"29,657 ratings",2017
The Subtle Art of Not Giving a F*ck: A Counterintuitive Approach to Living a Good Life,Mark Manson,Happiness,4.5,10..05,2016,224,"151,837 ratings",2017
The Getaway (Diary of a Wimpy Kid),Jeff Kinney,Family Life,4.7,12..47,2017,224,"32,378 ratings",2017
The Instant Pot Electric Pressure Cooker Cookbook: Easy Recipes for Fast & Healthy Meals,Laurel Randolph,Poultry,4.4,7..85,2016,176,"13,425 ratings",2017
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,State & Local,4.4,12..26,2017,272,"120,339 ratings",2017
Astrophysics for People in a Hurry,Neil deGrasse Tyson,Astrophysics & Space Science,4.6,10..79,2017,224,"36,972 ratings",2017
First 100 Words: A Padded Board Book,Roger Priddy,Vocabulary & Spelling,4.7,3..88,2011,24,"38,701 ratings",2017
The Whole30: The 30-Day Guide to Total Health and Food Freedom,Melissa Hartwig Urban,Reference,4.6,16..51,2015,432,"16,802 ratings",2017
The Handmaid's Tale,Margaret Atwood,Censorship,4.3,8..95,1985,311,"165,774 ratings",2017
The 5 Love Languages: The Secret to Love that Lasts,Gary Chapman,Love & Romance,4.8,7..88,2016,224,"93,996 ratings",2017
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,Happiness,4.7,9..35,2021,272,"47,166 ratings",2017
What Happened,Hillary Rodham Clinton,Civics & Citizenship,4.5,13..69,2009,512,"11,185 ratings",2017
"Oh, the Places You'll Go!",Dr. Seuss,Classics,4.9,8..48,1990,56,"52,232 ratings",2017
Make Your Bed: Little Things That Can Change Your Life...And Maybe the World,Admiral William H. McRaven,Happiness,4.7,11..43,2019,144,"47,845 ratings",2017
1984: 75th Anniversary,George Orwell,Censorship,4.6,9..78,1984,328,"117,023 ratings",2017
How to Win Friends & Influence People (Dale Carnegie Books),Dale Carnegie,Unknown,4.7,9..99,1913,320,"34,768 ratings",2017
Origin: A Novel (Robert Langdon),Dan Brown,Crime,4.3,21..98,2017,480,"140,475 ratings",2017
A Man Called Ove: A Novel,Fredrik Backman,Friendship,4.6,8..93,2018,368,"197,871 ratings",2017
The Sun and Her Flowers,Rupi Kaur,Canadian,4.7,8..36,2017,256,"23,288 ratings",2017
Dear Zoo: A Lift-the-Flap Book,Rod Campbell,Zoos,4.8,4..84,1725,18,"31,173 ratings",2017
The Four Agreements: A Practical Guide to Personal Freedom (A Toltec Wisdom Book),Don Miguel Ruiz,Personal Transformation,4.7,7..05,1997,160,"117,067 ratings",2017
The Going To Bed Book,Sandra Boynton,Counting,4.8,3..86,1982,16,"18,895 ratings",2017
StrengthsFinder 2.0,Gallup,Management,4.1,28..52,2007,175,"8,423 ratings",2017
The Wonderful Things You Will Be,Emily Winfield Martin,New Baby,4.9,10..71,2015,36,"31,479 ratings",2017
The Shack: Where Tragedy Confronts Eternity,William P. Young,Mystery & Suspense,4.6,10..62,2007,256,"41,658 ratings",2017
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,"Cleaning, Caretaking & Relocating",4.5,9..42,2017,224,"59,251 ratings",2017
"Option B: Facing Adversity, Building Resilience, and Finding Joy",Sheryl Sandberg,Grief & Bereavement,4.4,16..21,2017,240,"7,924 ratings",2017
Thug Kitchen: The Official Cookbook: Eat Like You Give a F*ck (Thug Kitchen Cookbooks),Thug Kitchen,Vegan,4.6,15..89,2014,240,"15,131 ratings",2017
"The Care and Keeping of You: The Body Book for Younger Girls, Revised Edition (American Girl® Wellbeing)",Valorie Schaefer,Personal Hygiene,4.8,12..99,2012,104,"26,974 ratings",2017
"Uninvited: Living Loved When You Feel Less Than, Left Out, and Lonely",Lysa TerKeurst,Women's Issues,4.7,8..43,2017,288,"12,169 ratings",2017
Big Little Lies,Liane Moriarty,Murder,4.4,9..99,2014,512,"161,769 ratings",2017
The Official SAT Study Guide,The College Board,SAT,4.5,12..20,2004,1280,"2,461 ratings",2017
The Whole30 Cookbook: 150 Delicious and Totally Compliant Recipes to Help You Succeed with the Whole30 and Beyond,Melissa Hartwig Urban,Organic,4.6,13..98,2016,320,"2,969 ratings",2017
"Thinking, Fast and Slow",Daniel Kahneman,Decision-Making & Problem Solving,4.6,13..55,2011,512,"45,963 ratings",2017
"Jesus Calling, Padded Hardcover, with Scripture References: Enjoying Peace in His Presence (A 365-Day Devotional)",Sarah Young,New Testament,4.9,9..09,2004,416,"41,717 ratings",2017
What to Expect When You're Expecting: (Updated in 2024),Heidi Murkoff,Pregnancy & Childbirth,4.8,10..73,2016,656,"29,479 ratings",2017
The Glass Castle: A Memoir (book),Jeannette Walls,Authors,4.6,9..99,2006,288,"45,131 ratings",2017
The Great Gatsby: The Only Authorized Edition,F. Scott Fitzgerald,Censorship,4.4,8..41,2004,180,"17,859 ratings",2017
The Wisdom of Sundays: Life-Changing Insights from Super Soul Conversations,Oprah Winfrey,Mental & Spiritual Healing,4.6,14..37,2017,240,"3,034 ratings",2017
P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,Toilet Training,4.7,6..36,2014,12,"32,254 ratings",2017
The Rooster Bar,John Grisham,Political,4.0,11..71,2017,368,"57,506 ratings",2017
The Giving Tree,Shel Silverstein,Poetry,4.8,9..51,1964,64,"35,260 ratings",2017
She Persisted: 13 American Women Who Changed the World,Chelsea Clinton,Girls & Women,4.8,9..77,2017,32,"3,228 ratings",2017
On Tyranny: Twenty Lessons from the Twentieth Century,Timothy Snyder,Democracy,4.7,7..31,2018,128,"32,667 ratings",2017
The Alchemist: A Modern Classic of Magic and Mysticism (Perennial Classics),Paulo Coelho,Historical,4.6,7..85,2014,208,"166,954 ratings",2017
Fahrenheit 451,Ray Bradbury,Censorship,4.6,9..05,1953,249,"55,135 ratings",2017
Camino Island: A Novel,John Grisham,Legal,4.2,12..24,2017,304,"89,734 ratings",2017
Turtles All the Way Down,John Green,Depression & Mental Health,4.4,8..52,2017,304,"26,353 ratings",2017
The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,Brené Brown,Creativity,4.7,8..71,2019,160,"42,847 ratings",2017
Love You Forever,Robert Munsch,Classics,4.9,4..98,1986,32,"65,378 ratings",2017
"The Pioneer Woman Cooks―Come and Get It!: Simple, Scrumptious Recipes for Crazy Busy Lives",Ree Drummond,Reference,4.8,17..00,2017,400,"5,135 ratings",2017
